"go.id","go.term","Definition","Ontology","count.InDataset","count.InGenome","pvalue","totaltermInDataset","totaltermInGenome","EntrezID"
"GO:0000976","transcription regulatory region sequence-specific DNA binding","Interacting selectively and non-covalently with a specific sequence of DNA that is part of a regulatory region that controls transcription of that section of the DNA. The transcribed region might be described as a gene, cistron, or operon.","MF",2,156,0.0387979507224872,140,70508,"YIL056W;YDL020C"
"GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding","Interacting selectively and non-covalently with a specific sequence of DNA that is part of a regulatory region that controls the transcription of a gene or cistron by RNA polymerase II.","MF",2,113,0.0214550825816203,140,70508,"YDL020C;YIL056W"
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","Interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.","MF",2,157,0.0392485263823178,140,70508,"YDL020C;YIL056W"
"GO:0001067","regulatory region nucleic acid binding","Interacting selectively and non-covalently with a nucleic acid region that regulates a nucleic acid-based process. Such processes include transcription, DNA replication, and DNA repair.","MF",2,158,0.0397011008361078,140,70508,"YIL056W;YDL020C"
"GO:0003700","DNA-binding transcription factor activity","Interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within the regulatory region of a gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons.","MF",2,177,0.0486672103725447,140,70508,"YIL056W;YDL020C"
"GO:0004448","isocitrate dehydrogenase activity","Catalysis of the reaction: isocitrate + acceptor = 2-oxoglutarate + CO2 + reduced acceptor.","MF",1,5,0.00988888334971116,140,70508,"YLR174W"
"GO:0008559","ATPase-coupled xenobiotic transmembrane transporter activity","Catalysis of the reaction: ATP + H2O + xenobiotic(in) = ADP + phosphate + xenobiotic(out).","MF",1,7,0.0138171959273115,140,70508,"YOR153W"
"GO:0015035","protein disulfide oxidoreductase activity","Catalysis of the reaction: a protein with reduced sulfide groups = a protein with oxidized disulfide bonds.","MF",1,21,0.0408854603301437,140,70508,"YLR043C"
"GO:0015101","organic cation transmembrane transporter activity","Enables the transfer of organic cations from one side of a membrane to the other. Organic cations are atoms or small molecules with a positive charge that contain carbon in covalent linkage.","MF",1,8,0.0157755453488826,140,70508,"YLL028W"
"GO:0015203","polyamine transmembrane transporter activity","Enables the transfer of polyamines, organic compounds containing two or more amino groups, from one side of a membrane to the other.","MF",1,10,0.0196806683216194,140,70508,"YLL028W"
"GO:0022804","active transmembrane transporter activity","Enables the transfer of a specific substance or related group of substances from one side of a membrane to the other, up the solute's concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction.","MF",2,154,0.0379028342860574,140,70508,"YOR153W;YLL028W"
"GO:0042910","xenobiotic transmembrane transporter activity","Enables the directed movement of a xenobiotic from one side of a membrane to the other. A xenobiotic is a compound foreign the organim exposed to it. It may be synthesized by another organism (like ampicilin) or it can be a synthetic chemical.","MF",2,22,0.00088096664152921,140,70508,"YOR153W;YLL028W"
