smoothingValue	windowSize	windowOverlap	IPcoeff	controlCoeff	log2FC	averageQuantiles	bPeaksNumber	meanSize	meanIPsignal	meanControlSignal	meanLog2FC	meanAverageLog2FC	bPeaksNumber_beforeFeatures	bPeaksNumber_inFeatures
20	150	50	2	2	2	0.7	628	175.398	438.588	73.982	2.497	7.331	215	505
20	150	50	6	2	2	0.7	336	183.333	578.981	89.04	2.68	7.635	121	265
20	150	50	2	6	2	0.7	628	176.115	437.082	74.69	2.496	7.333	215	505
20	150	50	6	6	2	0.7	336	184.673	576.165	90.364	2.677	7.638	121	265
20	150	50	2	2	2.5	0.7	278	175.719	551.655	63.847	3	7.335	101	216
20	150	50	6	2	2.5	0.7	206	179.369	641.946	70.456	3.107	7.497	79	160
20	150	50	2	6	2.5	0.7	279	176.523	553.181	66.083	2.996	7.346	102	216
20	150	50	6	6	2.5	0.7	207	180.435	643.567	73.437	3.101	7.511	80	160
20	150	50	2	2	3	0.7	128	171.484	725.881	60.152	3.474	7.397	53	98
20	150	50	6	2	3	0.7	121	171.488	751.342	61.711	3.496	7.439	52	91
20	150	50	2	6	3	0.7	128	173.047	709.091	61.014	3.468	7.397	53	98
20	150	50	6	6	3	0.7	121	173.14	733.581	62.623	3.491	7.439	52	91
20	150	50	2	2	2	0.9	122	181.148	876.135	140.984	2.443	8.26	49	90
20	150	50	6	2	2	0.9	122	181.148	876.135	140.984	2.443	8.26	49	90
20	150	50	2	6	2	0.9	122	184.836	868.382	144.633	2.435	8.267	49	90
20	150	50	6	6	2	0.9	122	184.836	868.382	144.633	2.435	8.267	49	90
20	150	50	2	2	2.5	0.9	53	183.962	1234.968	134.207	2.942	8.387	25	36
20	150	50	6	2	2.5	0.9	53	183.962	1234.968	134.207	2.942	8.387	25	36
20	150	50	2	6	2.5	0.9	54	187.963	1230.199	144.455	2.92	8.424	26	36
20	150	50	6	6	2.5	0.9	54	187.963	1230.199	144.455	2.92	8.424	26	36
20	150	50	2	2	3	0.9	24	177.083	1830.427	140.473	3.414	8.576	17	12
20	150	50	6	2	3	0.9	24	177.083	1830.427	140.473	3.414	8.576	17	12
20	150	50	2	6	3	0.9	24	185.417	1740.882	145.071	3.386	8.576	17	12
20	150	50	6	6	3	0.9	24	185.417	1740.882	145.071	3.386	8.576	17	12
20	150	50	2	2	2	0.8	304	178.947	593.206	100.291	2.447	7.764	106	242
20	150	50	3	2	2	0.8	304	178.947	593.206	100.291	2.447	7.764	106	242
20	150	50	4	2	2	0.8	304	178.947	593.206	100.291	2.447	7.764	106	242
20	150	50	5	2	2	0.8	302	179.139	595.198	100.486	2.449	7.768	106	240
20	150	50	6	2	2	0.8	267	180.712	631.935	103.877	2.499	7.832	95	207
20	150	50	2	6	2	0.8	304	180.428	590.095	101.755	2.443	7.768	106	242
20	150	50	3	6	2	0.8	304	180.428	590.095	101.755	2.443	7.768	106	242
20	150	50	4	6	2	0.8	304	180.428	590.095	101.755	2.443	7.768	106	242
20	150	50	5	6	2	0.8	302	180.629	592.066	101.96	2.446	7.771	106	240
20	150	50	6	6	2	0.8	267	182.397	628.392	105.544	2.495	7.836	95	207
20	150	50	2	2	2.5	0.8	124	181.048	807.483	91.378	2.982	7.844	47	91
20	150	50	3	2	2.5	0.8	124	181.048	807.483	91.378	2.982	7.844	47	91
20	150	50	4	2	2.5	0.8	124	181.048	807.483	91.378	2.982	7.844	47	91
20	150	50	5	2	2.5	0.8	124	181.048	807.483	91.378	2.982	7.844	47	91
20	150	50	6	2	2.5	0.8	124	181.048	807.483	91.378	2.982	7.844	47	91
20	150	50	2	6	2.5	0.8	125	182.8	808.842	96.148	2.973	7.865	48	91
20	150	50	3	6	2.5	0.8	125	182.8	808.842	96.148	2.973	7.865	48	91
20	150	50	4	6	2.5	0.8	125	182.8	808.842	96.148	2.973	7.865	48	91
20	150	50	5	6	2.5	0.8	125	182.8	808.842	96.148	2.973	7.865	48	91
20	150	50	6	6	2.5	0.8	125	182.8	808.842	96.148	2.973	7.865	48	91
20	150	50	2	2	3	0.8	63	173.016	1040.132	87.512	3.364	7.889	30	44
20	150	50	3	2	3	0.8	63	173.016	1040.132	87.512	3.364	7.889	30	44
20	150	50	4	2	3	0.8	63	173.016	1040.132	87.512	3.364	7.889	30	44
20	150	50	5	2	3	0.8	63	173.016	1040.132	87.512	3.364	7.889	30	44
20	150	50	6	2	3	0.8	63	173.016	1040.132	87.512	3.364	7.889	30	44
20	150	50	2	6	3	0.8	63	176.19	1006.02	89.263	3.353	7.889	30	44
20	150	50	3	6	3	0.8	63	176.19	1006.02	89.263	3.353	7.889	30	44
20	150	50	4	6	3	0.8	63	176.19	1006.02	89.263	3.353	7.889	30	44
20	150	50	5	6	3	0.8	63	176.19	1006.02	89.263	3.353	7.889	30	44
20	150	50	6	6	3	0.8	63	176.19	1006.02	89.263	3.353	7.889	30	44
20	150	50	3	2	2	0.9	122	181.148	876.135	140.984	2.443	8.26	49	90
20	150	50	4	2	2	0.9	122	181.148	876.135	140.984	2.443	8.26	49	90
20	150	50	5	2	2	0.9	122	181.148	876.135	140.984	2.443	8.26	49	90
20	150	50	3	6	2	0.9	122	184.836	868.382	144.633	2.435	8.267	49	90
20	150	50	4	6	2	0.9	122	184.836	868.382	144.633	2.435	8.267	49	90
20	150	50	5	6	2	0.9	122	184.836	868.382	144.633	2.435	8.267	49	90
20	150	50	3	2	2.5	0.9	53	183.962	1234.968	134.207	2.942	8.387	25	36
20	150	50	4	2	2.5	0.9	53	183.962	1234.968	134.207	2.942	8.387	25	36
20	150	50	5	2	2.5	0.9	53	183.962	1234.968	134.207	2.942	8.387	25	36
20	150	50	3	6	2.5	0.9	54	187.963	1230.199	144.455	2.92	8.424	26	36
20	150	50	4	6	2.5	0.9	54	187.963	1230.199	144.455	2.92	8.424	26	36
20	150	50	5	6	2.5	0.9	54	187.963	1230.199	144.455	2.92	8.424	26	36
20	150	50	3	2	3	0.9	24	177.083	1830.427	140.473	3.414	8.576	17	12
20	150	50	4	2	3	0.9	24	177.083	1830.427	140.473	3.414	8.576	17	12
20	150	50	5	2	3	0.9	24	177.083	1830.427	140.473	3.414	8.576	17	12
20	150	50	3	6	3	0.9	24	185.417	1740.882	145.071	3.386	8.576	17	12
20	150	50	4	6	3	0.9	24	185.417	1740.882	145.071	3.386	8.576	17	12
20	150	50	5	6	3	0.9	24	185.417	1740.882	145.071	3.386	8.576	17	12
20	150	50	2	2	2	0.95	55	188.182	1263.937	188.086	2.459	8.697	25	39
20	150	50	3	2	2	0.95	55	188.182	1263.937	188.086	2.459	8.697	25	39
20	150	50	4	2	2	0.95	55	188.182	1263.937	188.086	2.459	8.697	25	39
20	150	50	5	2	2	0.95	55	188.182	1263.937	188.086	2.459	8.697	25	39
20	150	50	6	2	2	0.95	55	188.182	1263.937	188.086	2.459	8.697	25	39
20	150	50	2	6	2	0.95	55	196.364	1246.739	196.18	2.44	8.714	25	39
20	150	50	3	6	2	0.95	55	196.364	1246.739	196.18	2.44	8.714	25	39
20	150	50	4	6	2	0.95	55	196.364	1246.739	196.18	2.44	8.714	25	39
20	150	50	5	6	2	0.95	55	196.364	1246.739	196.18	2.44	8.714	25	39
20	150	50	6	6	2	0.95	55	196.364	1246.739	196.18	2.44	8.714	25	39
20	150	50	2	2	2.5	0.95	26	188.462	1823.854	186.117	2.926	8.894	13	17
20	150	50	3	2	2.5	0.95	26	188.462	1823.854	186.117	2.926	8.894	13	17
20	150	50	4	2	2.5	0.95	26	188.462	1823.854	186.117	2.926	8.894	13	17
20	150	50	5	2	2.5	0.95	26	188.462	1823.854	186.117	2.926	8.894	13	17
20	150	50	6	2	2.5	0.95	26	188.462	1823.854	186.117	2.926	8.894	13	17
20	150	50	2	6	2.5	0.95	27	196.296	1792.505	204.69	2.883	8.951	14	17
20	150	50	3	6	2.5	0.95	27	196.296	1792.505	204.69	2.883	8.951	14	17
20	150	50	4	6	2.5	0.95	27	196.296	1792.505	204.69	2.883	8.951	14	17
20	150	50	5	6	2.5	0.95	27	196.296	1792.505	204.69	2.883	8.951	14	17
20	150	50	6	6	2.5	0.95	27	196.296	1792.505	204.69	2.883	8.951	14	17
20	150	50	2	2	3	0.95	9	216.667	3567.867	240.781	3.625	9.576	8	1
20	150	50	3	2	3	0.95	9	216.667	3567.867	240.781	3.625	9.576	8	1
20	150	50	4	2	3	0.95	9	216.667	3567.867	240.781	3.625	9.576	8	1
20	150	50	5	2	3	0.95	9	216.667	3567.867	240.781	3.625	9.576	8	1
20	150	50	6	2	3	0.95	9	216.667	3567.867	240.781	3.625	9.576	8	1
20	150	50	2	6	3	0.95	9	238.889	3329.081	253.041	3.55	9.578	8	1
20	150	50	3	6	3	0.95	9	238.889	3329.081	253.041	3.55	9.578	8	1
20	150	50	4	6	3	0.95	9	238.889	3329.081	253.041	3.55	9.578	8	1
20	150	50	5	6	3	0.95	9	238.889	3329.081	253.041	3.55	9.578	8	1
20	150	50	6	6	3	0.95	9	238.889	3329.081	253.041	3.55	9.578	8	1
20	150	50	4	4	2.7	0.89	40	185	1331.801	128.455	3.19	8.361	24	25
20	150	50	4	4	2.85	0.89	34	185.294	1447.108	130.66	3.288	8.416	21	21
20	150	50	4	4	3	0.89	27	181.481	1638.946	135.599	3.427	8.486	18	15
20	150	50	4	4	2.7	0.915	31	188.71	1515.138	145.35	3.16	8.532	19	18
20	150	50	4	4	2.85	0.915	27	188.889	1631.851	147.128	3.25	8.582	17	16
20	150	50	4	4	3	0.915	22	186.364	1827.621	152.816	3.36	8.649	15	11
20	150	50	4	4	2.7	0.93	23	197.826	1789.293	168.15	3.156	8.746	15	11
20	150	50	4	4	2.85	0.93	19	200	2012.866	175.478	3.284	8.862	13	9
20	150	50	4	4	3	0.93	16	200	2226.09	181.851	3.373	8.924	11	6
20	150	50	4	4	3	0.9	24	185.417	1740.882	145.071	3.386	8.576	17	12
20	150	50	4	4	3.25	0.9	15	193.333	2322.825	164.115	3.622	8.791	11	8
20	150	50	4	4	3.5	0.9	8	200	3831.778	235.877	3.918	9.539	7	3
20	150	50	4	4	3.75	0.9	4	237.5	5121.233	249.239	4.26	9.735	3	2
20	150	50	4	4	4	0.9	4	212.5	5372.193	253.961	4.32	9.792	3	2
20	150	50	4	4	4.25	0.9	2	200	8186.269	313.125	4.745	10.541	2	1
